Stockton Dr & Wrightwood Ave,member,-87.63874,41.93131,4545
Pine Grove Ave & Irving Park Rd,member,-87.64806,41.95438,4540
McClurg Ct & Erie St,member,-87.61801,41.89448,4529
Clark St & Elm St,casual,-87.6314,41.90287,4448
Sheffield Ave & Waveland Ave,member,-87.65449,41.94932,4424
Sheffield Ave & Kingsbury St,member,-87.65315,41.91055,4409
Racine Ave & Fullerton Ave,member,-87.65845,41.92559,4401
Desplaines St & Jackson Blvd,member,-87.64401,41.87812,4373
Sedgwick St & North Ave,member,-87.63868,41.91136,4357
Sheffield Ave & Wellington Ave,member,-87.65267,41.93625,4344
DuSable Lake Shore Dr & Monroe St,member,-87.61675,41.88097,4320
Canal St & Jackson Blvd,member,-87.63941,41.87731,4290
LaSalle St & Jackson Blvd,member,-87.63186,41.87811,4282
DuSable Lake Shore Dr & Belmont Ave,member,-87.63918,41.94075,4251
Michigan Ave & 8th St,casual,-87.62397,41.87271,4234
Sheffield Ave & Wrightwood Ave,member,-87.65387,41.92871,4226
Franklin St & Illinois St,member,-87.63546,41.89102,4220
Wells St & Elm St,casual,-87.63443,41.90314,4217
Rush St & Superior St,member,-87.62603,41.89574,4200
Clark St & Randolph St,member,-87.63179,41.88456,4156
May St & Taylor St,member,-87.65549,41.86949,4138
Michigan Ave & Washington St,casual,-87.62458,41.88397,4130
Wilton Ave & Belmont Ave,casual,-87.65296,41.94016,4112
Milwaukee Ave & Grand Ave,member,-87.64834,41.8916,4078
Halsted St & Roscoe St,member,-87.64894,41.94363,4074
Clarendon Ave & Gordon Ter,member,-87.6495,41.95781,4053
Wilton Ave & Diversey Pkwy,member,-87.65269,41.93241,4039
State St & Randolph St,member,-87.62787,41.88462,4032
Burling St & Diversey Pkwy,member,-87.64775,41.93313,4024
Fairbanks Ct & Grand Ave,member,-87.6206,41.89187,4009
DuSable Lake Shore Dr & Wellington Ave,member,-87.63683,41.93669,3985
Wabash Ave & Grand Ave,casual,-87.62676,41.89144,3980
Indiana Ave & Roosevelt Rd,casual,-87.62304,41.86791,3965
Dayton St & North Ave,member,-87.64942,41.9106,3955
Franklin St & Chicago Ave,member,-87.63571,41.89677,3952
Halsted St & Dickens Ave,member,-87.64885,41.91996,3920
Aberdeen St & Jackson Blvd,member,-87.65482,41.87776,3912
State St & Kinzie St,member,-87.62719,41.88916,3891
